Complaint_Text,Standardized_Complaint,Category,Sentiment,Priority,Village,Date,Pincode,lang
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Malegaon,04-09-2025,413115,en
Garbage is not collected regularly in Malegaon.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,18-12-2024,413102,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Supa,02-09-2025,413109,en
No water supply in the village since 7 days.,no_water_supply,Water,Negative,High,Pandare,18-10-2024,413103,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Morgaon,29-12-2024,413304,en
Garbage is not collected regularly in Someshwar.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,10-03-2025,413103,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Supa,16-05-2024,413109,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Nimbut,19-08-2025,413110,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Someshwar,31-10-2024,412306,en
Village health worker is absent since 8 days.,health_worker_absent,Health,Negative,Medium,Nimbut,28-10-2024,413110,en
Water tanker not arrived for 4 days,no_water_supply,Water,Negative,High,Katphal,07-03-2025,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,18-08-2024,413111,en
Library in village remains closed.,library_closed,Others,Negative,Low,Morgaon,08-06-2025,413304,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,26-07-2025,413304,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Katphal,16-05-2024,413111,en
Electric transformer is not working in Jejuri.,electricity_supply_disrupted,Electricity,Negative,High,Supa,16-01-2024,413109,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Nimbut,23-12-2024,413110,en
Library in village remains closed.,library_closed,Others,Negative,Low,Baramati,30-03-2024,413102,en
Garbage is not collected regularly in Malegaon.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,05-10-2024,413102,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,21-08-2024,413111,en
Water tanker not arrived for 1 days,no_water_supply,Water,Negative,High,Someshwar,03-02-2024,412306,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Nimbut,02-07-2024,413110,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Nimbut,15-09-2024,413110,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Pandare,19-04-2024,413103,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,24-02-2024,413115,en
Electric transformer is not working in Pandharpur.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,30-04-2024,412306,en
Garbage is not collected regularly in Loni.,garbage_not_collected,Sanitation,Negative,Medium,Supa,28-01-2025,413109,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Katphal,24-01-2025,413111,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Morgaon,08-12-2024,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Someshwar,19-06-2025,412306,en
Electric transformer is not working in Daund.,electricity_supply_disrupted,Electricity,Negative,High,Morgaon,16-10-2024,413304,en
Water tanker not arrived for 5 days,no_water_supply,Water,Negative,High,Pandare,29-08-2024,413103,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Supa,01-03-2025,413109,en
Garbage is not collected regularly in Baramati.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,26-03-2024,413111,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Supa,13-02-2024,413109,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Nimbut,13-07-2025,413110,en
Library in village remains closed.,library_closed,Others,Negative,Low,Malegaon,05-05-2025,413115,en
Water tanker not arrived for 9 days,no_water_supply,Water,Negative,High,Supa,15-05-2024,413109,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Nimbut,20-04-2025,413110,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,15-05-2025,413304,en
Water tanker not arrived for 8 days,no_water_supply,Water,Negative,High,Pandare,31-08-2025,413103,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,24-08-2024,413304,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Supa,10-03-2025,413109,en
Garbage is not collected regularly in Someshwar.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,05-05-2025,413110,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Someshwar,16-06-2025,412306,en
Large potholes on road,road_potholes,Road,Negative,Low,Baramati,01-06-2024,413102,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Baramati,01-09-2025,413102,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,29-04-2025,413102,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,16-07-2025,413103,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,07-10-2024,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,02-04-2024,413109,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,31-12-2024,413110,en
Library in village remains closed.,library_closed,Others,Negative,Low,Nimbut,20-05-2024,413110,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Someshwar,29-08-2024,412306,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Katphal,23-04-2024,413111,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Supa,10-09-2025,413109,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Someshwar,05-04-2025,412306,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Someshwar,29-03-2024,412306,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Morgaon,28-05-2025,413304,en
The road from Malegaon to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,06-08-2024,413115,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Katphal,05-06-2024,413111,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Katphal,27-11-2024,413111,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Baramati,05-12-2024,413102,en
No water supply in the village since 5 days.,no_water_supply,Water,Negative,High,Katphal,28-06-2024,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Pandare,07-04-2025,413103,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Nimbut,25-06-2024,413110,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Nimbut,02-09-2025,413110,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Morgaon,18-03-2024,413304,en
Large potholes on road,road_potholes,Road,Negative,Low,Someshwar,26-06-2024,412306,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Baramati,17-04-2025,413102,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Nimbut,11-10-2024,413110,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Supa,22-08-2024,413109,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Baramati,05-01-2025,413102,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Nimbut,05-12-2024,413110,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Pandare,12-12-2024,413103,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Pandare,26-08-2024,413103,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Baramati,02-05-2024,413102,en
Electric transformer is not working in Daund.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,25-05-2024,412306,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Katphal,10-05-2025,413111,en
Village health worker is absent since 3 days.,health_worker_absent,Health,Negative,Medium,Baramati,09-10-2024,413102,en
The road from Jejuri to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,31-07-2025,413115,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Nimbut,06-03-2025,413110,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Malegaon,13-02-2024,413115,en
Electric transformer is not working in Baramati.,electricity_supply_disrupted,Electricity,Negative,High,Malegaon,31-07-2025,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Baramati,07-10-2024,413102,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Katphal,17-02-2025,413111,en
Village health worker is absent since 9 days.,health_worker_absent,Health,Negative,Medium,Nimbut,06-11-2024,413110,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Baramati,22-06-2024,413102,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Supa,11-02-2024,413109,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,31-07-2025,413102,en
Library in village remains closed.,library_closed,Others,Negative,Low,Supa,28-01-2024,413109,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Pandare,05-12-2024,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,05-10-2024,413110,en
Water tanker not arrived for 6 days,no_water_supply,Water,Negative,High,Malegaon,20-04-2024,413115,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,11-09-2024,413115,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Pandare,09-03-2025,413103,en
The road from Baramati to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,04-01-2025,413115,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Supa,29-11-2024,413109,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Someshwar,02-11-2024,412306,en
No water supply in the village since 3 days.,no_water_supply,Water,Negative,High,Pandare,03-02-2025,413103,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Someshwar,11-07-2025,412306,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Baramati,23-06-2024,413102,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Morgaon,08-08-2025,413304,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Morgaon,30-08-2024,413304,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Nimbut,05-05-2025,413110,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Someshwar,11-06-2024,412306,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Supa,19-03-2024,413109,en
Garbage is not collected regularly in Pandharpur.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,06-07-2024,413111,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Katphal,13-06-2025,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,09-02-2024,413102,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Supa,20-05-2024,413109,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Morgaon,07-06-2024,413304,en
Electric transformer is not working in Bhigwan.,electricity_supply_disrupted,Electricity,Negative,High,Nimbut,14-12-2024,413110,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Pandare,29-01-2024,413103,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Supa,03-04-2024,413109,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Someshwar,11-05-2024,412306,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Pandare,25-01-2025,413103,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Nimbut,07-10-2024,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Someshwar,27-08-2025,412306,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,10-08-2025,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Supa,31-10-2024,413109,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,03-04-2024,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Malegaon,25-06-2024,413115,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Nimbut,09-02-2025,413110,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Malegaon,23-04-2024,413115,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Morgaon,22-05-2025,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Pandare,13-12-2024,413103,en
Water tanker not arrived for 5 days,no_water_supply,Water,Negative,High,Baramati,01-09-2025,413102,en
Water tanker not arrived for 7 days,no_water_supply,Water,Negative,High,Someshwar,20-05-2025,412306,en
Village health worker is absent since 9 days.,health_worker_absent,Health,Negative,Medium,Someshwar,06-01-2024,412306,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Someshwar,27-08-2024,412306,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Nimbut,17-07-2025,413110,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Morgaon,23-02-2024,413304,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,08-08-2025,413103,en
No water supply in the village since 1 days.,no_water_supply,Water,Negative,High,Malegaon,31-12-2024,413115,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Baramati,06-01-2024,413102,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Nimbut,12-07-2025,413110,en
No electricity for 6 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Katphal,26-07-2024,413111,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Pandare,05-11-2024,413103,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Morgaon,14-12-2024,413304,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,29-12-2024,413111,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Baramati,25-03-2025,413102,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,11-04-2024,413110,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Supa,10-12-2024,413109,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Baramati,28-05-2025,413102,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Morgaon,16-05-2025,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,13-07-2025,413110,en
Library in village remains closed.,library_closed,Others,Negative,Low,Baramati,21-04-2025,413102,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Supa,20-07-2024,413109,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Nimbut,15-09-2025,413110,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Morgaon,11-03-2024,413304,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,05-07-2024,413103,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Pandare,19-07-2025,413103,en
No water supply in the village since 3 days.,no_water_supply,Water,Negative,High,Supa,09-04-2025,413109,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Supa,07-09-2025,413109,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Baramati,27-12-2024,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,15-10-2024,413103,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Pandare,19-09-2024,413103,en
Village health worker is absent since 7 days.,health_worker_absent,Health,Negative,Medium,Baramati,19-03-2024,413102,en
No water supply in the village since 5 days.,no_water_supply,Water,Negative,High,Pandare,19-06-2024,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Baramati,28-09-2024,413102,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Supa,19-01-2025,413109,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Positive,Medium,Baramati,15-02-2025,413102,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Pandare,07-06-2025,413103,en
School building is damaged and unsafe.,other_issue,Electricity,Neutral,High,Supa,09-01-2024,413109,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Pandare,21-12-2024,413103,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Someshwar,05-07-2025,412306,en
No water supply in the village since several days.,no_water_supply,Education,Positive,Low,Someshwar,15-01-2024,412306,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Pandare,08-06-2024,413103,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Nimbut,22-06-2025,413110,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Neutral,Medium,Nimbut,10-02-2025,413110,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Someshwar,02-11-2024,412306,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Katphal,31-08-2025,413111,en
Road conditions are very poor and dangerous.,other_issue,Education,Positive,Low,Morgaon,06-11-2024,413304,en
School building is damaged and unsafe.,other_issue,Water,Neutral,High,Morgaon,17-07-2024,413304,en
No water supply in the village since several days.,no_water_supply,Electricity,Neutral,High,Morgaon,02-05-2025,413304,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Morgaon,08-10-2024,413304,en
Electricity supply is irregular in our area.,other_issue,Electricity,Neutral,High,Someshwar,01-07-2025,412306,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Morgaon,04-03-2024,413304,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Malegaon,10-03-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Someshwar,15-06-2024,412306,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Someshwar,18-11-2024,412306,en
Electricity supply is irregular in our area.,other_issue,Water,Negative,High,Malegaon,02-02-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Someshwar,18-07-2025,412306,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Positive,High,Baramati,16-01-2024,413102,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Baramati,21-10-2024,413102,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Neutral,High,Morgaon,07-03-2025,413304,en
School building is damaged and unsafe.,other_issue,Electricity,Neutral,High,Baramati,18-03-2024,413102,en
Medicines are not available at the PHC.,medicines_not_available,Health,Positive,Medium,Morgaon,24-05-2025,413304,en
Road conditions are very poor and dangerous.,other_issue,Water,Negative,High,Katphal,12-06-2025,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Pandare,09-02-2025,413103,en
Sanitation facilities are not adequate in the village.,other_issue,Sanitation,Neutral,Medium,Morgaon,19-01-2025,413304,en
Road conditions are very poor and dangerous.,other_issue,Education,Negative,Low,Malegaon,28-04-2025,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Malegaon,13-08-2024,413115,en
School building is damaged and unsafe.,other_issue,Sanitation,Negative,High,Morgaon,16-03-2025,413304,en
Sanitation facilities are not adequate in the village.,other_issue,Education,Neutral,Low,Baramati,16-02-2024,413102,en
School building is damaged and unsafe.,other_issue,Health,Positive,Low,Malegaon,14-06-2025,413115,en
School building is damaged and unsafe.,other_issue,Electricity,Positive,High,Pandare,15-01-2025,413103,en
No water supply in the village since several days.,no_water_supply,Health,Negative,Medium,Katphal,07-09-2024,413111,en
No water supply in the village since several days.,no_water_supply,Road,Negative,Medium,Baramati,30-05-2025,413102,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Someshwar,27-12-2024,412306,en
No water supply in the village since several days.,no_water_supply,Education,Neutral,Low,Malegaon,15-06-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Nimbut,02-05-2024,413110,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Neutral,Low,Nimbut,21-08-2025,413110,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Pandare,15-01-2025,413103,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Katphal,02-09-2024,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Katphal,13-04-2024,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Morgaon,15-05-2025,413304,en
No water supply in the village since several days.,no_water_supply,Electricity,Positive,High,Morgaon,27-02-2025,413304,en
Medicines are not available at the PHC.,medicines_not_available,Education,Neutral,Low,Malegaon,13-04-2024,413115,en
No water supply in the village since several days.,no_water_supply,Health,Negative,Low,Katphal,02-08-2025,413111,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,19-12-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Supa,23-08-2025,413109,en
School building is damaged and unsafe.,other_issue,Water,Neutral,High,Katphal,15-02-2025,413111,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Supa,16-06-2024,413109,en
Road conditions are very poor and dangerous.,other_issue,Water,Positive,High,Katphal,12-03-2025,413111,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Katphal,12-02-2024,413111,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Positive,High,Nimbut,29-07-2024,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Positive,Low,Baramati,02-06-2024,413102,en
School building is damaged and unsafe.,other_issue,Road,Negative,Medium,Someshwar,20-10-2024,412306,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Supa,17-05-2025,413109,en
School building is damaged and unsafe.,other_issue,Sanitation,Neutral,Low,Supa,18-08-2024,413109,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Morgaon,31-05-2024,413304,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Morgaon,19-04-2024,413304,en
Road conditions are very poor and dangerous.,other_issue,Electricity,Neutral,High,Someshwar,25-04-2024,412306,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,11-01-2025,413115,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Malegaon,17-06-2024,413115,en
School building is damaged and unsafe.,other_issue,Water,Negative,High,Nimbut,03-11-2024,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Neutral,High,Katphal,14-04-2025,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Pandare,09-01-2024,413103,en
Electricity supply is irregular in our area.,other_issue,Education,Neutral,Low,Supa,15-12-2024,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Pandare,01-09-2025,413103,en
Medicines are not available at the PHC.,medicines_not_available,Road,Negative,Low,Morgaon,25-08-2025,413304,en
No water supply in the village since several days.,no_water_supply,Sanitation,Positive,Medium,Baramati,18-05-2024,413102,en
No water supply in the village since several days.,no_water_supply,Water,Positive,High,Someshwar,11-08-2024,412306,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Positive,Low,Baramati,12-04-2025,413102,en
Road conditions are very poor and dangerous.,other_issue,Sanitation,Neutral,High,Baramati,03-09-2025,413102,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Negative,High,Malegaon,01-09-2025,413115,en
Medicines are not available at the PHC.,medicines_not_available,Water,Positive,High,Baramati,25-02-2025,413102,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Neutral,Medium,Supa,11-01-2024,413109,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Pandare,03-04-2024,413103,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Neutral,Medium,Baramati,12-05-2025,413102,en
Road conditions are very poor and dangerous.,other_issue,Road,Neutral,Medium,Malegaon,13-10-2024,413115,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Negative,High,Pandare,03-09-2025,413103,en
Road conditions are very poor and dangerous.,other_issue,Sanitation,Positive,Low,Morgaon,02-02-2024,413304,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,30-03-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Morgaon,24-08-2025,413304,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Morgaon,16-03-2024,413304,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Someshwar,28-04-2024,412306,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Baramati,07-10-2024,413102,en
No water supply in the village since several days.,no_water_supply,Water,Negative,High,Malegaon,17-12-2024,413115,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Supa,05-10-2024,413109,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Supa,16-03-2024,413109,en
Road conditions are very poor and dangerous.,other_issue,Water,Positive,High,Supa,10-02-2025,413109,en
Electricity supply is irregular in our area.,other_issue,Water,Negative,High,Malegaon,02-08-2025,413115,en
Electricity supply is irregular in our area.,other_issue,Health,Positive,High,Katphal,24-07-2025,413111,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Positive,High,Someshwar,17-04-2024,412306,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Negative,High,Pandare,21-02-2025,413103,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Nimbut,28-09-2024,413110,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Someshwar,05-06-2025,412306,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Morgaon,05-10-2024,413304,en
Medicines are not available at the PHC.,medicines_not_available,Education,Neutral,Low,Nimbut,31-10-2024,413110,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Katphal,30-07-2025,413111,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Nimbut,10-12-2024,413110,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Someshwar,04-01-2024,412306,en
No water supply in the village since several days.,no_water_supply,Electricity,Neutral,High,Pandare,20-03-2024,413103,en
Medicines are not available at the PHC.,medicines_not_available,Health,Positive,Medium,Someshwar,07-01-2024,412306,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Negative,High,Baramati,12-04-2024,413102,en
Sanitation facilities are not adequate in the village.,other_issue,Education,Negative,Low,Pandare,05-03-2024,413103,en
No water supply in the village since several days.,no_water_supply,Electricity,Negative,High,Katphal,19-01-2025,413111,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Negative,Medium,Baramati,04-05-2025,413102,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Someshwar,25-06-2024,412306,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Someshwar,28-05-2024,412306,en
School building is damaged and unsafe.,other_issue,Electricity,Neutral,High,Nimbut,31-08-2024,413110,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Malegaon,13-01-2024,413115,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Positive,High,Malegaon,25-02-2025,413115,en
School building is damaged and unsafe.,other_issue,Sanitation,Neutral,High,Someshwar,24-08-2024,412306,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Katphal,01-02-2025,413111,en
Electricity supply is irregular in our area.,other_issue,Health,Neutral,Medium,Morgaon,10-04-2024,413304,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Neutral,High,Katphal,05-10-2024,413111,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Baramati,07-03-2025,413102,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Katphal,03-08-2024,413111,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Neutral,High,Malegaon,20-12-2024,413115,en
Electricity supply is irregular in our area.,other_issue,Road,Negative,Low,Morgaon,02-07-2024,413304,en
